k99_10003148_1	ENOG4111EXJ	1.9e-65	223.4
k99_10003180_1	COG0365	2.3e-82	278.6
k99_10003180_2	COG3718	3e-09	38.1
k99_10003193_1	ENOG410Y78N	2e-34	120.9
k99_10003193_2	ENOG410Y78N	1.4e-39	137.9
k99_10003210_3	COG0553	8.1e-61	205.2
k99_10003210_4	COG1002	5.7e-17	62.9
k99_10003218_2	ENOG410YZ8A	1.6e-06	28.8
k99_10003252_1	COG0772	4e-72	245.6
k99_10003252_2	COG0768	5.7e-158	529.8
k99_10003252_3	ENOG411267M	4.4e-57	194.4
k99_10003267_1	ENOG410ZDHW	1.1e-94	318.8
k99_10003267_2	ENOG410XXYX	1.7e-172	577.5
k99_10003271_1	COG1792	7.2e-41	142.1
k99_10003271_2	ENOG411267M	1e-47	163.9
k99_10003271_3	COG0768	5.1e-19	69.4
k99_10003306_1	ENOG4110CNM	1.3e-18	68.2
k99_10003324_1	COG1034	4.3e-137	460.4
k99_10003324_2	ENOG4112BDD	3.3e-37	129.0
k99_10003324_3	COG1894	4e-36	126.3
k99_10003361_1	ENOG410YJF8	1.6e-17	65.6
k99_10003361_2	ENOG410Y6TF	7.2e-33	115.8
k99_10003367_1	COG5126	4.6e-29	100.1
k99_10003394_1	COG1734	8.7e-40	138.5
k99_10003394_3	ENOG41125G1	2.3e-45	157.9
k99_10003408_1	COG4176	1.4e-114	386.3
k99_10003431_1	ENOG41118M1	2.1e-16	61.5
k99_10003431_2	ENOG410ZMDX	1.8e-05	26.3
k99_10003439_2	COG0772	1.7e-05	25.0
k99_10003439_3	COG0772	2e-115	388.9
k99_10003439_4	COG0768	9.9e-109	366.7
k99_10003439_5	COG2815	7.4e-169	564.8
k99_10003440_2	ENOG410XNSN	0	1049.8
k99_10003440_3	COG3239	2.2e-26	94.4
k99_10003440_5	COG0520	3.8e-109	367.6
k99_10003440_6	COG5141	2.3e-25	90.0
k99_1000344_2	COG0535	1.8e-20	74.3
k99_10003454_1	COG4576	8.6e-29	101.7
k99_10003454_2	COG4576	3.4e-26	93.3
k99_10003454_3	COG4577	1.1e-37	131.3
k99_10003454_4	COG1454	3.8e-06	26.8
k99_10003554_1	ENOG410ZJEG	8e-60	204.7
k99_10003554_2	ENOG410ZJEG	3.2e-07	31.4
k99_10003554_3	ENOG41121Y0	7.1e-14	53.5
k99_10003554_4	ENOG410ZI1S	3e-14	54.8
k99_10003554_6	ENOG410Z7MD	1.6e-25	91.7
k99_10003554_7	ENOG410XXVY	7.4e-07	31.2
k99_10003574_2	ENOG41112QF	1.1e-05	26.0
k99_10003578_1	ENOG410Z6MW	3.8e-05	25.6
k99_10003578_12	ENOG4110TQD	7e-52	178.4
k99_10003578_13	ENOG4110TQD	7.7e-52	178.3
k99_10003578_17	ENOG410XVJT	1.3e-75	256.7
k99_10003578_20	COG0639	5.4e-38	131.2
k99_10003578_21	ENOG410XRMA	1.3e-82	280.3
k99_10003578_6	ENOG410XPNW	1.8e-89	302.8
k99_10003578_7	ENOG410ZZX2	8.4e-10	39.4
k99_10003578_8	ENOG410ZKMB	1e-16	63.0
k99_10003578_9	ENOG410XQ79	7.2e-18	66.4
k99_10003593_2	ENOG410XPBB	6.3e-05	23.6
k99_10003593_4	ENOG410YF4M	5.4e-15	57.0
k99_10003594_1	COG1262	3.1e-62	212.7
k99_10003608_1	ENOG4111R4B	4.1e-12	47.0
k99_10003608_2	COG1134	1e-83	284.0
k99_10003608_3	COG1682	8.7e-60	204.6
k99_10003608_4	COG1216	4.6e-65	221.8
k99_10003650_1	ENOG410ZGC3	3.8e-18	67.1
k99_10003656_1	COG1672	1.5e-39	137.6
k99_10003656_2	COG1672	8.6e-24	85.4
k99_1000367_1	COG2064	6.4e-26	93.0
k99_1000367_2	COG0630	1.9e-125	421.4
k99_10003698_2	ENOG410ZXMM	4.9e-28	98.8
